date,curator,artist,track,genre,youtube_url,youtube_music_url,spotify_url,bandcamp_url,soundcloud_url,tidal_url
2018-06-29,trey,Zeal and Ardor,Don't You Dare,avant-garde black metal,https://www.youtube.com/watch?v=JVqgI5HY3js,,https://open.spotify.com/track/5zJeYwrdz3ikxxgSAaqVXs,https://zealandardor.bandcamp.com/track/dont-you-dare,https://soundcloud.com/zeal-and-ardor/dont-you-dare,
2018-06-29,trey,Zeal and Ardor,You Ain't Coming Back,avant-garde black metal,https://www.youtube.com/watch?v=4tWGD-EAgNQ,,https://open.spotify.com/track/0ltZfCMoFkijXOnyBMZVTq,https://zealandardor.bandcamp.com/track/you-aint-coming-back-2,https://soundcloud.com/zeal-and-ardor/you-aint-coming-back-1,
2018-07-20,trey,Horrendous,Soothsayer,progressive death,https://www.youtube.com/watch?v=-r9iS6fWnMA,,https://open.spotify.com/track/7mp40baUsjqzTEuvCF4Vja,https://horrendous.bandcamp.com/track/soothsayer,https://soundcloud.com/horrendousofficial/soothsayer,
2018-07-20,trey,Obscura,Clandestine Stars,technical death,https://www.youtube.com/watch?v=uwcocrUz1y8,,https://open.spotify.com/track/7kV5FvExdqzu3kgpuRiTLv,https://obscura.bandcamp.com/track/clandestine-stars,https://soundcloud.com/obscuraofficial/clandestine-stars,
2018-07-20,trey,Vein,End Eternal,mathcore/hardcore,https://www.youtube.com/watch?v=anMz5vtdnZ4,,https://open.spotify.com/track/7iHBbgRWz8D5x7rzEWh0tG,https://veinband.bandcamp.com/track/end-eternal,https://soundcloud.com/vein-official/end-eternal,
2018-08-03,trey,Skeletonwitch,The Vault,black metal,,,https://open.spotify.com/track/0J81ymfVUwBAlNnecASiRG,https://skeletonwitch.bandcamp.com/track/the-vault,https://soundcloud.com/skeletonwitch-official/the-vault-feat-skeletonwitch,
2018-08-03,trey,The Ominous Circle,A Gray Outcast,death metal,https://www.youtube.com/watch?v=JeLC79Et-CQ,,https://open.spotify.com/track/26ChmTYVd2ZtC6y9cpdowR,https://20buckspin.bandcamp.com/album/appalling-ascension,,
2018-08-17,trey,Imperial Triumphant,Swarming Opulence,black metal,https://www.youtube.com/watch?v=QNCuNmo5Csg,,https://open.spotify.com/track/4OWb4mcmrfWrafdrjUs5I7,https://throatruinerrecords.bandcamp.com/track/swarming-opulence,,
2018-08-17,trey,Panopticon,En hvit ravns dod,black metal/americana,https://www.youtube.com/watch?v=H64QqCUnyVE,,https://open.spotify.com/track/2vluFKWBHtkr691daGDUzP,https://thetruepanopticon.bandcamp.com/track/en-hvit-ravns-d-d,https://soundcloud.com/panopticonofficial/en-hvit-ravns-dod,
2018-08-17,trey,Panopticon,The Wandering Ghost,black metal/americana,https://www.youtube.com/watch?v=bhXguIufmzk,,https://open.spotify.com/track/4Jy1uOj0ZSNK6W1DCu91jU,https://thetruepanopticon.bandcamp.com/track/the-wandering-ghost,,
